filename,width,height,class,xmin,ymin,xmax,ymax
image_1704690596890_png_jpg.rf.5acccde3108c5dc182c010a632d2eab1.jpg,640,640,face,159,145,366,414
image_1704682740418_png_jpg.rf.5b42eead0005dd57e2c796ce66d388a3.jpg,640,640,face,211,108,300,277
00000454_png_jpg.rf.5aed012fc4f27c7847dccbbdc111fd5b.jpg,640,640,person,83,18,335,517
00000454_png_jpg.rf.5aed012fc4f27c7847dccbbdc111fd5b.jpg,640,640,person,308,0,569,469
Orang-18-_png_jpg.rf.5b78dca2dd2babfaa5423824493fd2a7.jpg,640,640,person,260,40,342,308
Orang-18-_png_jpg.rf.5b78dca2dd2babfaa5423824493fd2a7.jpg,640,640,person,368,69,442,363
00000034_png_jpg.rf.5b809de970302286d17d79ead68f43da.jpg,640,640,person,465,100,558,519
00000034_png_jpg.rf.5b809de970302286d17d79ead68f43da.jpg,640,640,person,56,120,202,539
Orang-16-_png_jpg.rf.5b6044fa6c7f14177811f9bcb87c8875.jpg,640,640,person,209,330,303,576
Orang-16-_png_jpg.rf.5b6044fa6c7f14177811f9bcb87c8875.jpg,640,640,person,166,414,245,617
166_jpg.rf.5d4b0d6d2b0d96836b8ec6c736916009.jpg,640,640,face,123,214,511,558
166_jpg.rf.5d4b0d6d2b0d96836b8ec6c736916009.jpg,640,640,face,123,214,511,558
166_jpg.rf.5d4b0d6d2b0d96836b8ec6c736916009.jpg,640,640,face,123,214,511,558
image_1704690690962_png_jpg.rf.5d4229ba66ba2502b2f0aef4a99af635.jpg,640,640,face,225,168,402,451
image_1704690699783_png_jpg.rf.5dc1d034f12bdf93666ddb9d6dcd8ef2.jpg,640,640,face,222,154,381,408
image_1704691145804_png_jpg.rf.5d4b288cc0bd1dc49acfcf76338469cb.jpg,640,640,face,180,169,360,428
S_0237_png_jpg.rf.5de8c5d67d1c31c52a2ba981192d41f4.jpg,640,640,face,574,0,620,583
S_0237_png_jpg.rf.5de8c5d67d1c31c52a2ba981192d41f4.jpg,640,640,face,34,35,504,573
image_1704690995156_png_jpg.rf.5ccdf97a41cb4e4bdd6e5740683afe25.jpg,640,640,face,271,122,409,348
H_0126_png_jpg.rf.5d8a0ae7e96afe0f6bbfa6a18f070130.jpg,640,640,face,117,45,568,626
Orang-31-_png_jpg.rf.5ece39ea73725c225430b9da35ad03c2.jpg,640,640,person,265,332,345,640
Orang-31-_png_jpg.rf.5ece39ea73725c225430b9da35ad03c2.jpg,640,640,person,351,102,388,339
Orang-31-_png_jpg.rf.5ece39ea73725c225430b9da35ad03c2.jpg,640,640,person,388,86,445,336
Orang-31-_png_jpg.rf.5ece39ea73725c225430b9da35ad03c2.jpg,640,640,person,409,140,476,449
image_1704690695152_png_jpg.rf.5bff0ee6982e493596dfd97b3b46ff00.jpg,640,640,face,273,181,439,457
6_png_jpg.rf.5c62eeb949a16cf9e095d73f0db2c5f0.jpg,640,640,face,334,254,351,283
6_png_jpg.rf.5c62eeb949a16cf9e095d73f0db2c5f0.jpg,640,640,face,556,274,572,301
6_png_jpg.rf.5c62eeb949a16cf9e095d73f0db2c5f0.jpg,640,640,face,477,268,495,297
6_png_jpg.rf.5c62eeb949a16cf9e095d73f0db2c5f0.jpg,640,640,person,283,225,402,639
6_png_jpg.rf.5c62eeb949a16cf9e095d73f0db2c5f0.jpg,640,640,person,522,257,589,541
6_png_jpg.rf.5c62eeb949a16cf9e095d73f0db2c5f0.jpg,640,640,person,449,245,532,639
6_png_jpg.rf.5c62eeb949a16cf9e095d73f0db2c5f0.jpg,640,640,person,440,259,481,429
101_jpg.rf.5d03e5826c22c70f3e255d8f9241033a.jpg,640,640,face,122,59,543,430
101_jpg.rf.5d03e5826c22c70f3e255d8f9241033a.jpg,640,640,face,122,59,543,430
101_jpg.rf.5d03e5826c22c70f3e255d8f9241033a.jpg,640,640,face,122,59,543,430
00000588_png_jpg.rf.5ee5b09ad01bc1b0ebba48d44265b7cd.jpg,640,640,person,100,15,394,631
00000588_png_jpg.rf.5ee5b09ad01bc1b0ebba48d44265b7cd.jpg,640,640,person,0,15,143,560
image_1704336273605_png_jpg.rf.5efc446a62e960a90dce9f7f05496d06.jpg,640,640,face,291,181,405,417
00108_png_jpg.rf.5eebc336c0ee52f17d7e46c0cbd6e7cc.jpg,640,640,person,162,174,573,455
image_1704691159154_png_jpg.rf.5aee88cc1777aa596ece8886dd06b2ca.jpg,640,640,face,262,214,398,447
H_0157_png_jpg.rf.5f2b23de797c13d6b40f5f6d6d174d35.jpg,640,640,face,53,25,549,638
00061_png_jpg.rf.5f48bb03a0670c0dfc2fffe26046f11f.jpg,640,640,person,182,205,471,334
00000236_png_jpg.rf.5f22dea565ee5a07e28a1992d18996be.jpg,640,640,person,377,77,527,634
00000236_png_jpg.rf.5f22dea565ee5a07e28a1992d18996be.jpg,640,640,person,0,97,131,588
S_0127_png_jpg.rf.5f4e52e616841bbe64565c378af2bf6a.jpg,640,640,face,0,12,498,575
00054_png_jpg.rf.5b244d9d2afb8b8c86dcfbc9903599c1.jpg,640,640,person,200,160,483,322
Mask-detector1_mov-16_jpg.rf.5f1c013876c6a84eba2154cd33b04a27.jpg,640,640,face,194,123,505,388
S_0161_png_jpg.rf.5f608a115feb20ae9a1cc61605889c6d.jpg,640,640,face,131,0,640,640
146_jpg.rf.5ca27bd4efe52b8811bc8bfbc02c61eb.jpg,640,640,face,94,122,505,476
146_jpg.rf.5ca27bd4efe52b8811bc8bfbc02c61eb.jpg,640,640,face,94,122,505,476
146_jpg.rf.5ca27bd4efe52b8811bc8bfbc02c61eb.jpg,640,640,face,94,122,505,476
image_1704685918404_png_jpg.rf.5f93d05c2d78c2cfa8dbb469d2517e15.jpg,640,640,face,242,157,386,464
00000681_png_jpg.rf.5b182469ba2af7b381c42b20f719f682.jpg,640,640,person,429,45,589,546
00000681_png_jpg.rf.5b182469ba2af7b381c42b20f719f682.jpg,640,640,person,214,112,355,540
00000804_png_jpg.rf.5fd05722a5e2fa85ed70f7ee2643d727.jpg,640,640,person,429,82,566,586
00000804_png_jpg.rf.5fd05722a5e2fa85ed70f7ee2643d727.jpg,640,640,person,225,77,421,640
00100_png_jpg.rf.5fbe66a12cd9fb5447a3596e37c9f7e9.jpg,640,640,person,131,146,528,431
image_1704338919629_png_jpg.rf.605625221f7ef499c6319457c81a6e6b.jpg,640,640,face,242,193,368,422
